id;judges;year;quarter;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
128;38;2019;3;10;;4;;;;3;2;3;13;26;1;62;1;
129;45;2019;3;5;;16;;;;1;6;;11;45;;84;13;
130;41;2018;1;;66;19;;2;3;5;1;;7;14;;117;;
131;39;2018;1;17;;25;1;;;2;3;1;;25;;74;;
132;38;2018;1;29;;13;1;;;5;2;5;8;17;;80;;
133;37;2018;1;;67;38;;1;8;5;1;;3;27;;150;;
134;42;2018;1;;52;22;;;6;5;3;;7;2;;97;;
135;43;2018;1;;55;25;;;9;1;;;5;27;;122;;
136;45;2018;1;13;;13;;;;;3;4;;17;;50;;
137;56;2018;1;6;55;5;1;1;1;2;1;;1;5;;78;4;
138;57;2018;1;9;;24;1;;1;1;2;;9;10;;57;;
139;40;2018;1;;70;22;;3;1;3;7;;10;18;;134;;
140;44;2018;1;;60;18;;2;7;;1;;3;19;;110;;
141;41;2018;2;;64;27;;1;7;1;5;0;4;29;;138;;
142;39;2018;2;19;;9;;;;0;1;0;1;21;;51;;
143;38;2018;2;13;;34;;;;1;5;4;4;19;;80;;
144;37;2018;2;;111;12;;2;5;2;3;0;6;51;;192;;
145;42;2018;2;;65;37;;3;11;5;3;0;7;38;;169;;
146;43;2018;2;;67;19;;6;5;0;4;0;3;39;;143;;
147;45;2018;2;37;;19;;;;2;3;1;2;29;;93;;
148;56;2018;2;10;31;1;;;;1;;;;1;;42;;
149;40;2018;2;;76;13;;;5;1;;;;24;;119;;
150;44;2018;2;;80;28;;2;3;1;5;0;4;51;;174;;
151;41;2018;3;;91;17;;2;12;1;2;;7;43;;175;2;
152;39;2018;3;14;;10;;;;2;;1;2;98;;127;3;
153;38;2018;3;27;;24;1;;;1;3;1;;222;;279;4;
154;37;2018;3;;32;10;;3;3;;4;;2;10;;64;;
155;42;2018;3;;81;24;;4;6;2;4;;12;22;;155;2;
156;43;2018;3;;92;14;;4;10;2;5;;17;27;;171;4;
157;45;2018;3;16;;22;1;;;4;;;7;123;;173;6;
